datetime,Valor,Dia,Ano,Hora,Minuto,return-log
2015-08-16 23:00:00,9.442,16.0,2015.0,23.0,0.0,-0.5340861379844473
2015-08-17 00:00:00,7.164,17.0,2015.0,0.0,0.0,-0.2760993379256296
2015-08-17 01:00:00,40.959,17.0,2015.0,1.0,0.0,1.7435030821722588
2015-08-17 02:00:00,39.347,17.0,2015.0,2.0,0.0,-0.040151833295472894
2015-08-17 03:00:00,30.881999999999998,17.0,2015.0,3.0,0.0,-0.24224624317657906
2015-08-17 04:00:00,21.676,17.0,2015.0,4.0,0.0,-0.35396783219480454
2015-08-17 05:00:00,12.412,17.0,2015.0,5.0,0.0,-0.5575419111177338
2015-08-17 06:00:00,6.955,17.0,2015.0,6.0,0.0,-0.5792029212107277
2015-08-17 07:00:00,6.38,17.0,2015.0,7.0,0.0,-0.0862927280187078
2015-08-17 08:00:00,7.968,17.0,2015.0,8.0,0.0,0.2222654229255987
2015-08-17 09:00:00,5.814,17.0,2015.0,9.0,0.0,-0.315164718145613
2015-08-17 10:00:00,6.0729999999999995,17.0,2015.0,10.0,0.0,0.04358391477875401
2015-08-17 11:00:00,3.112,17.0,2015.0,11.0,0.0,-0.6685871105992929
2015-08-17 12:00:00,4.13,17.0,2015.0,12.0,0.0,0.2830118006567961
2015-08-17 13:00:00,7.727,17.0,2015.0,13.0,0.0,0.6264432819785055
2015-08-17 14:00:00,11.052,17.0,2015.0,14.0,0.0,0.35789071810972306
2015-08-17 15:00:00,16.724,17.0,2015.0,15.0,0.0,0.41423340643314877
2015-08-17 16:00:00,11.458,17.0,2015.0,16.0,0.0,-0.3781566375079328
2015-08-17 17:00:00,4.571000000000001,17.0,2015.0,17.0,0.0,-0.9189561766367784
2015-08-17 18:00:00,3.489,17.0,2015.0,18.0,0.0,-0.2701168371449705
2015-08-17 19:00:00,13.782,17.0,2015.0,19.0,0.0,1.3737482307303794
2015-08-17 20:00:00,12.279000000000002,17.0,2015.0,20.0,0.0,-0.11547290675664046
2015-08-17 21:00:00,8.299,17.0,2015.0,21.0,0.0,-0.3917554605620652
2015-08-17 22:00:00,11.039000000000001,17.0,2015.0,22.0,0.0,0.285299431419904
2015-08-17 23:00:00,9.552999999999999,17.0,2015.0,23.0,0.0,-0.14457921574834343
2015-08-18 00:00:00,25.826999999999998,18.0,2015.0,0.0,0.0,0.9945652150560558
2015-08-18 01:00:00,93.948,18.0,2015.0,1.0,0.0,1.2913209813698505
2015-08-18 02:00:00,77.956,18.0,2015.0,2.0,0.0,-0.1865968727539995
2015-08-18 03:00:00,49.985,18.0,2015.0,3.0,0.0,-0.4444216045406342
2015-08-18 04:00:00,41.512,18.0,2015.0,4.0,0.0,-0.18574041835370547
2015-08-18 05:00:00,26.404,18.0,2015.0,5.0,0.0,-0.45246702823891427
2015-08-18 06:00:00,9.712,18.0,2015.0,6.0,0.0,-1.000153279509382
2015-08-18 07:00:00,6.377000000000001,18.0,2015.0,7.0,0.0,-0.4206644669840076
2015-08-18 08:00:00,11.788,18.0,2015.0,8.0,0.0,0.6143842975423135
2015-08-18 09:00:00,10.739,18.0,2015.0,9.0,0.0,-0.0932000899993688
2015-08-18 10:00:00,8.527999999999999,18.0,2015.0,10.0,0.0,-0.23052710745259075
2015-08-18 11:00:00,9.088,18.0,2015.0,11.0,0.0,0.06359999455530696
2015-08-18 12:00:00,10.604000000000001,18.0,2015.0,12.0,0.0,0.15427642644798345
2015-08-18 13:00:00,8.185,18.0,2015.0,13.0,0.0,-0.25892807760368086
2015-08-18 14:00:00,10.390999999999998,18.0,2015.0,14.0,0.0,0.23863683604741137
2015-08-18 15:00:00,12.911,18.0,2015.0,15.0,0.0,0.21713961432207185
2015-08-18 16:00:00,12.520999999999999,18.0,2015.0,16.0,0.0,-0.030672426505770733
2015-08-18 17:00:00,8.646,18.0,2015.0,17.0,0.0,-0.3703104484413706
2015-08-18 18:00:00,1.974,18.0,2015.0,18.0,0.0,-1.4770348452341502
2015-08-18 19:00:00,866.0,18.0,2015.0,19.0,0.0,6.0838229675511455
2015-08-18 20:00:00,6.181,18.0,2015.0,20.0,0.0,-4.942404837885299
2015-08-18 21:00:00,8.376,18.0,2015.0,21.0,0.0,0.30389040289109914
2015-08-18 22:00:00,13.296,18.0,2015.0,22.0,0.0,0.4620927645448569
2015-08-18 23:00:00,17.521,18.0,2015.0,23.0,0.0,0.27593692339185827
2015-08-19 00:00:00,19.112000000000002,19.0,2015.0,0.0,0.0,0.08691624851855773
2015-08-19 01:00:00,85.647,19.0,2015.0,1.0,0.0,1.4999177878634846
2015-08-19 02:00:00,83.916,19.0,2015.0,2.0,0.0,-0.02041789937726257
2015-08-19 03:00:00,62.229,19.0,2015.0,3.0,0.0,-0.29899516947761207
2015-08-19 04:00:00,33.458,19.0,2015.0,4.0,0.0,-0.6205302081230295
2015-08-19 05:00:00,13.429,19.0,2015.0,5.0,0.0,-0.9128743733100508
2015-08-19 06:00:00,8.24,19.0,2015.0,6.0,0.0,-0.4884162036776578
2015-08-19 07:00:00,3.372,19.0,2015.0,7.0,0.0,-0.8934943037817713
2015-08-19 08:00:00,5.372999999999999,19.0,2015.0,8.0,0.0,0.4658803716070754
2015-08-19 09:00:00,4.175,19.0,2015.0,9.0,0.0,-0.2522720534438656
2015-08-19 10:00:00,12.238,19.0,2015.0,10.0,0.0,1.0754315067375302
2015-08-19 11:00:00,8.552,19.0,2015.0,11.0,0.0,-0.35838069131760486
2015-08-19 12:00:00,10.942,19.0,2015.0,12.0,0.0,0.24644342191889024
2015-08-19 13:00:00,18.598,19.0,2015.0,13.0,0.0,0.5304454524143711
2015-08-19 14:00:00,9.619,19.0,2015.0,14.0,0.0,-0.659313738885527
2015-08-19 15:00:00,11.299000000000001,19.0,2015.0,15.0,0.0,0.1609739170566309
2015-08-19 16:00:00,6.599,19.0,2015.0,16.0,0.0,-0.5377961038258248
2015-08-19 17:00:00,2.411,19.0,2015.0,17.0,0.0,-1.0068765232022505
2015-08-19 18:00:00,2.34,19.0,2015.0,18.0,0.0,-0.02989066982942401
2015-08-19 19:00:00,10.895999999999999,19.0,2015.0,19.0,0.0,1.5382448200375465
2015-08-19 20:00:00,14.863,19.0,2015.0,20.0,0.0,0.31047915375960145
2015-08-19 21:00:00,15.628,19.0,2015.0,21.0,0.0,0.05018927402606632
2015-08-19 22:00:00,27.079,19.0,2015.0,22.0,0.0,0.5496943425475473
2015-08-19 23:00:00,19.095,19.0,2015.0,23.0,0.0,-0.3493319990628918
2015-08-20 00:00:00,35.082,20.0,2015.0,0.0,0.0,0.6082616577441087
2015-08-20 01:00:00,112.779,20.0,2015.0,1.0,0.0,1.1677419730977787
2015-08-20 02:00:00,92.616,20.0,2015.0,2.0,0.0,-0.19696823861593948
2015-08-20 03:00:00,75.71600000000001,20.0,2015.0,3.0,0.0,-0.20147241415945416
2015-08-20 04:00:00,55.801,20.0,2015.0,4.0,0.0,-0.30519770837033633
2015-08-20 05:00:00,26.438000000000002,20.0,2015.0,5.0,0.0,-0.746989421216429
2015-08-20 06:00:00,7.029,20.0,2015.0,6.0,0.0,-1.32475792096344
2015-08-20 07:00:00,7.0089999999999995,20.0,2015.0,7.0,0.0,-0.0028494106755805326
2015-08-20 08:00:00,10.829,20.0,2015.0,8.0,0.0,0.4350326831280549
2015-08-20 09:00:00,5.071000000000001,20.0,2015.0,9.0,0.0,-0.7586896838333603
2015-08-20 10:00:00,8.408,20.0,2015.0,10.0,0.0,0.5056455967617677
2015-08-20 11:00:00,14.312000000000001,20.0,2015.0,11.0,0.0,0.5319147126317683
2015-08-20 12:00:00,10.402000000000001,20.0,2015.0,12.0,0.0,-0.3191002508555374
2015-08-20 13:00:00,12.109000000000002,20.0,2015.0,13.0,0.0,0.1519508824213487
2015-08-20 14:00:00,12.572000000000001,20.0,2015.0,14.0,0.0,0.03752314116309163
2015-08-20 15:00:00,15.812000000000001,20.0,2015.0,15.0,0.0,0.22929702649911787
2015-08-20 16:00:00,13.227,20.0,2015.0,16.0,0.0,-0.17850895039052883
2015-08-20 17:00:00,8.373,20.0,2015.0,17.0,0.0,-0.4572479518216155
2015-08-20 18:00:00,14.497,20.0,2015.0,18.0,0.0,0.5489294882464657
2015-08-20 19:00:00,21.666,20.0,2015.0,19.0,0.0,0.40180248005461516
2015-08-20 20:00:00,8.892000000000001,20.0,2015.0,20.0,0.0,-0.8905922154214254
2015-08-20 21:00:00,3.6319999999999997,20.0,2015.0,21.0,0.0,-0.8953685353629033
2015-08-20 22:00:00,4.3660000000000005,20.0,2015.0,22.0,0.0,0.18406379738870537
2015-08-20 23:00:00,25.49,20.0,2015.0,23.0,0.0,1.764438960260272
2015-08-21 00:00:00,37.953,21.0,2015.0,0.0,0.0,0.39806233371261834
2015-08-21 01:00:00,123.42299999999999,21.0,2015.0,1.0,0.0,1.179268927740421
2015-08-21 02:00:00,106.721,21.0,2015.0,2.0,0.0,-0.14539952740280793
2015-08-21 03:00:00,77.679,21.0,2015.0,3.0,0.0,-0.3176330018645155
2015-08-21 04:00:00,50.659,21.0,2015.0,4.0,0.0,-0.42746804563443597
2015-08-21 05:00:00,22.921999999999997,21.0,2015.0,5.0,0.0,-0.7930197568647968
2015-08-21 06:00:00,10.732000000000001,21.0,2015.0,6.0,0.0,-0.7588672155111293
2015-08-21 07:00:00,4.561,21.0,2015.0,7.0,0.0,-0.8556880348338145
2015-08-21 08:00:00,12.106,21.0,2015.0,8.0,0.0,0.9761592997399322
2015-08-21 09:00:00,12.454,21.0,2015.0,9.0,0.0,0.028340658980764655
2015-08-21 10:00:00,4.077,21.0,2015.0,10.0,0.0,-1.1166804326131439
2015-08-21 11:00:00,6.74,21.0,2015.0,11.0,0.0,0.5026985010870992
2015-08-21 12:00:00,5.426,21.0,2015.0,12.0,0.0,-0.2168577106874756
2015-08-21 13:00:00,7.477,21.0,2015.0,13.0,0.0,0.3206294277810384
2015-08-21 14:00:00,19.072,21.0,2015.0,14.0,0.0,0.9363896488651609
2015-08-21 15:00:00,20.489,21.0,2015.0,15.0,0.0,0.0716668658821229
2015-08-21 16:00:00,20.476,21.0,2015.0,16.0,0.0,-0.0006346881697254503
2015-08-21 17:00:00,10.55,21.0,2015.0,17.0,0.0,-0.6631276086732614
2015-08-21 18:00:00,3.326,21.0,2015.0,18.0,0.0,-1.1543554791513393
2015-08-21 19:00:00,4.7330000000000005,21.0,2015.0,19.0,0.0,0.352788870153375
2015-08-21 20:00:00,6.5760000000000005,21.0,2015.0,20.0,0.0,0.3288674068297679
2015-08-21 21:00:00,4.256,21.0,2015.0,21.0,0.0,-0.43509690571453574
2015-08-21 22:00:00,10.956,21.0,2015.0,22.0,0.0,0.9455574993614884
2015-08-21 23:00:00,5.872000000000001,21.0,2015.0,23.0,0.0,-0.623691960088617
2015-08-22 00:00:00,13.979000000000001,22.0,2015.0,0.0,0.0,0.8673609121767769
2015-08-22 01:00:00,77.911,22.0,2015.0,1.0,0.0,1.718010946094212
2015-08-22 02:00:00,72.351,22.0,2015.0,2.0,0.0,-0.0740378749011601
2015-08-22 03:00:00,56.763999999999996,22.0,2015.0,3.0,0.0,-0.24262695270975243
2015-08-22 04:00:00,36.961999999999996,22.0,2015.0,4.0,0.0,-0.4290119641087262
2015-08-22 05:00:00,12.415,22.0,2015.0,5.0,0.0,-1.0909849389034347
2015-08-22 06:00:00,6.02,22.0,2015.0,6.0,0.0,-0.7238181596394002
2015-08-22 07:00:00,2.819,22.0,2015.0,7.0,0.0,-0.7587050471887542
2015-08-22 08:00:00,2.5580000000000003,22.0,2015.0,8.0,0.0,-0.09715650897532435
2015-08-22 09:00:00,2.714,22.0,2015.0,9.0,0.0,0.0591978582560263
2015-08-22 10:00:00,402.0,22.0,2015.0,10.0,0.0,4.998028527206344
2015-08-22 11:00:00,9.3,22.0,2015.0,11.0,0.0,-3.7664376884598108
2015-08-22 12:00:00,32.10242850601021,15.78225529479107,2015.1648540354895,11.49582140812822,0.0,1.2389172815079519
2015-08-22 13:00:00,2.318,22.0,2015.0,13.0,0.0,-2.628226936749602
2015-08-22 14:00:00,4.958,22.0,2015.0,14.0,0.0,0.7602976886954389
2015-08-22 15:00:00,10.02,22.0,2015.0,15.0,0.0,0.7035806620437197
2015-08-22 16:00:00,16.355999999999998,22.0,2015.0,16.0,0.0,0.4900117068456771
2015-08-22 17:00:00,5.433,22.0,2015.0,17.0,0.0,-1.1021033349330096
2015-08-22 18:00:00,3.228,22.0,2015.0,18.0,0.0,-0.5206287171616837
2015-08-22 19:00:00,4.891,22.0,2015.0,19.0,0.0,0.4155340311495177
2015-08-22 20:00:00,16.692,22.0,2015.0,20.0,0.0,1.227532781172086
2015-08-22 21:00:00,7.539,22.0,2015.0,21.0,0.0,-0.7948400154997413
2015-08-22 22:00:00,18.284000000000002,22.0,2015.0,22.0,0.0,0.8859368132399332
2015-08-22 23:00:00,18.075,22.0,2015.0,23.0,0.0,-0.011496592424669494
2015-08-23 00:00:00,14.431,23.0,2015.0,0.0,0.0,-0.2251510975908877
2015-08-23 01:00:00,35.205,23.0,2015.0,1.0,0.0,0.8918094475171556
2015-08-23 02:00:00,32.464,23.0,2015.0,2.0,0.0,-0.08105633488763742
2015-08-23 03:00:00,26.273000000000003,23.0,2015.0,3.0,0.0,-0.2115899872004383
2015-08-23 04:00:00,19.504,23.0,2015.0,4.0,0.0,-0.29792222314410477
2015-08-23 05:00:00,7.761,23.0,2015.0,5.0,0.0,-0.9215083808669142
2015-08-23 06:00:00,4.167,23.0,2015.0,6.0,0.0,-0.6219148394316854
2015-08-23 07:00:00,2.386,23.0,2015.0,7.0,0.0,-0.557578028764592
2015-08-23 08:00:00,3.22,23.0,2015.0,8.0,0.0,0.2997630358805925
2015-08-23 09:00:00,4.217,23.0,2015.0,9.0,0.0,0.2697426152081057
2015-08-23 10:00:00,3.1210000000000004,23.0,2015.0,10.0,0.0,-0.30097051147578013
2015-08-23 11:00:00,2.7969999999999997,23.0,2015.0,11.0,0.0,-0.10960604906881999
2015-08-23 12:00:00,0.57,23.0,2015.0,12.0,0.0,-1.5906663323733639
2015-08-23 13:00:00,32.10242850601021,15.78225529479107,2015.1648540354895,11.49582140812822,0.0,4.031050599820704
2015-08-23 14:00:00,32.10242850601021,15.78225529479107,2015.1648540354895,11.49582140812822,0.0,0.0
2015-08-23 15:00:00,3.8,23.0,2015.0,15.0,0.0,-2.1339306149348225
2015-08-23 16:00:00,2.977,23.0,2015.0,16.0,0.0,-0.24408498469870077
2015-08-23 17:00:00,62.0,23.0,2015.0,17.0,0.0,3.0362183030114522
2015-08-23 18:00:00,32.10242850601021,15.78225529479107,2015.1648540354895,11.49582140812822,0.0,-0.6582027033779294
2015-08-23 19:00:00,32.10242850601021,15.78225529479107,2015.1648540354895,11.49582140812822,0.0,0.0
2015-08-23 20:00:00,3.384,23.0,2015.0,20.0,0.0,-2.2498732399231853
2015-08-23 21:00:00,10.845999999999998,23.0,2015.0,21.0,0.0,1.164737906674892
2015-08-23 22:00:00,9.23,23.0,2015.0,22.0,0.0,-0.16133729990410783
2015-08-23 23:00:00,11.040999999999999,23.0,2015.0,23.0,0.0,0.1791565679422389
2015-08-24 00:00:00,2.839,24.0,2015.0,0.0,0.0,-1.3581637389661656
2015-08-24 01:00:00,47.306999999999995,24.0,2015.0,1.0,0.0,2.813206398600725
2015-08-24 02:00:00,35.126999999999995,24.0,2015.0,2.0,0.0,-0.2976882105568621
2015-08-24 03:00:00,20.43,24.0,2015.0,3.0,0.0,-0.5419656567051665
2015-08-24 04:00:00,12.613,24.0,2015.0,4.0,0.0,-0.48227638072447476
2015-08-24 05:00:00,9.638,24.0,2015.0,5.0,0.0,-0.26901440988691494
2015-08-24 06:00:00,10.610999999999999,24.0,2015.0,6.0,0.0,0.09617758067331206
2015-08-24 07:00:00,7.699,24.0,2015.0,7.0,0.0,-0.3208007485955404
2015-08-24 08:00:00,6.358,24.0,2015.0,8.0,0.0,-0.1913765878073017
